activities,amountRaised,campaignTitle,currencyType,goal,mediaCount,numberContributors,percent_complete,period,timeLeft,updates
8,300,Help 1 year old Luna Run Again!,Canadian Dollar,of $4k goal,(4),8,8%,"Years running
					,
				",2,1
14,129,"Stray Dogs of Mexico's ""A Share and A Dollar""",U.S. Dollar,of $1.1k goal,(2),14,12%,"Years running
					,
				",3,1
48,"2,379",Fancy Cats Rescue Team / Medical Fund,U.S. Dollar,of $10k goal,(2),45,24%,"Years running
					,
				",6,2
77,"9,485",Save80DogsNov4                2017,Canadian Dollar,of $15k goal,(25),76,63%,"Years running
					,
				",3,5
6,270,Helping abused animals find a new start in life,U.S. Dollar,of $1.5k goal,(1),5,18%,"Years running
					,
				",3,0
4,100,Help Us Bring Rescue Donkey Eclipse Home to Us,U.S. Dollar,of $305 goal,(1),4,33%,"Years running
					,
				",2,0
54,"1,680",DO  IT FOR THE PIGS FUNDRAISER  $10.00 OINK,Canadian Dollar,of $2k goal,(3),50,84%,"Years running
					,
				",3,6
10,370,Chessy needs our help!,U.S. Dollar,of $500 goal,(1),10,74%,"days left
					,
				",0,0
22,"3,266",YOU CAN DONATE HERE!! - RED WAGGIN' RESCUE,U.S. Dollar,of $500 goal,(1),22,653%,"Years running
					,
				",6,0
9,485,911 SAVE GEMMA!  SHE HAS CANCER AND NEEDS SURGERY,U.S. Dollar,of $3.5k goal,(4),9,14%,"Years running
					,
				",2,3
36,760,Remzi needs help,Euro,of €1.6k goal,(1),34,48%,"Years running
					,
				",2,0
14,342,Without help he will have to be put to sleep,Euro,of €750 goal,(5),14,46%,"Years running
					,
				",2,2
14,865,"My gentle, brave, sweet Lizzie needs your help",U.S. Dollar,of $7.5k goal,(1),13,12%,"Years running
					,
				",2,0
13,940,Care Fur You,U.S. Dollar,of $4k goal,(4),13,24%,"days left
					,
				",0,3
11,385,Fighting for Our Lives...,U.S. Dollar,of $7.5k goal,(2),11,5%,"Weeks running
					,
				",109,2
1,500,Vet Bills for dog hit by a car,U.S. Dollar,of $2k goal,(1),1,25%,"Weeks running
					,
				",108,0
3,100,Fundraiser for small animal rescue group from MNE,U.S. Dollar,of $2k goal,(1),1,5%,"days left
					,
				",0,0
3,100,Wichita Fundraiser for the Elephants,U.S. Dollar,of $2k goal,(2),2,5%,"Weeks running
					,
				",108,2
4,300,Help Lola Create Smiles Again,U.S. Dollar,of $2k goal,(4),4,15%,"Weeks running
					,
				",106,0
68,"3,342",Help keep Jumbo Valley wild forever,Canadian Dollar,of $10k goal,(7),68,33%,"Years running
					,
				",4,6
155,"3,759",Leya's Long Wait for Help.....,U.S. Dollar,of $3.5k goal,(1),153,107%,"Years running
					,
				",3,0
4,200,Rosie the Rottweiler and her family need your help,U.S. Dollar,of $4k goal,(10),4,5%,"Weeks running
					,
				",108,2
4,110,Help Khlassz Get Healthy,U.S. Dollar,of $750 goal,(10),4,15%,"Weeks running
					,
				",109,3
31,960,Aidez-nous à payer les frais d'opération de MiaMia,Canadian Dollar,of $960 goal,(13),25,100%,"days left
					,
				",0,11
9,695,Help River Become a Certified Service Dog,Canadian Dollar,of $10k goal,(2),9,7%,"Weeks running
					,
				",107,0
5,160,From the streets to a loving home in Vancouver,Pound Sterling,of £6k goal,(22),5,3%,"Years running
					,
				",2,13
106,"15,705",Bratwurst is Asking for Your Help,Canadian Dollar,,(5),106,"matches,matched contributions","days left
					,
				",0,3
22,581,Nash,Euro,of €1k goal,(3),20,58%,"days left
					,
				",0,1
11,170,First trip in car! Headed to vet ready to heal!,U.S. Dollar,of $250 goal,(1),9,68%,"Weeks running
					,
				",103,0
68,"4,275","HOMELESS CATS NEED VET CARE, FOOD, AND HOME CARE!",U.S. Dollar,of $5.5k goal,(328),68,78%,"Years running
					,
				",2,61
44,"3,010",Helping Pets & Pet Parents In Need!,U.S. Dollar,of $10k goal,(24),40,30%,"Years running
					,
				",4,13
7,420,Polish Dr Dolittle- I help wild animals in need,U.S. Dollar,of $3.7k goal,(4),5,11%,"Weeks running
					,
				",101,3
9,595,Lucky Huskies Medical Fund,U.S. Dollar,of $2k goal,(1),9,30%,"Years running
					,
				",3,0
2,220,Help Alice in her struggle with sickness,U.S. Dollar,of $2.4k goal,(2),1,9%,"Weeks running
					,
				",98,0
11,985,Fazoo Farm - We need you!,Euro,of €15k goal,(2),10,7%,"Years running
					,
				",2,1
14,512,Coyote needs help!,U.S. Dollar,of $800 goal,(3),13,64%,"days left
					,
				",0,0
6,400,My American Mustang,U.S. Dollar,of $10k goal,(5),6,4%,"Weeks running
					,
				",106,4
7,410,The Vegan Drag Queen European Fundraiser Tour!,U.S. Dollar,of $1.4k goal,(2),7,30%,"days left
					,
				",0,0
4,170,Surgery for Diego & Mershaton,U.S. Dollar,of $1.5k goal,(10),3,11%,"Weeks running
					,
				",104,4
46,"1,557",Baby Bodhi Satva,U.S. Dollar,of $2k goal,(3),44,78%,"Weeks running
					,
				",96,0
1,100,Help is needed for medical care of stray dogs,Euro,of €5k goal,(1),1,2%,"Years running
					,
				",2,0
1,100,Anna's leg surgery,U.S. Dollar,of $3k goal,(7),1,3%,"Weeks running
					,
				",102,4
4,160,"Please Therapy Dog, Nugget get Surgery",U.S. Dollar,of $1k goal,(16),4,16%,"Weeks running
					,
				",103,2
51,"2,328",Forever Foster Oscar Needs Your Help,U.S. Dollar,of $3.3k goal,(1),50,71%,"Years running
					,
				",4,0
5,275,Save dogs from road accidents in India,U.S. Dollar,of $10k goal,(13),5,3%,"Weeks running
					,
				",105,0
5,210,3 lost souls in Rice Texas.,U.S. Dollar,of $1k goal,(1),5,21%,"Weeks running
					,
				",100,0
10,504,Help #NCBeer show some love to pets in need!,U.S. Dollar,of $500 goal,(1),8,101%,"Weeks running
					,
				",97,0
8,216,Send some love to pets in need!,U.S. Dollar,of $500 goal,(3),7,43%,"days left
					,
				",0,3
20,"3,886",Man's Best Friend - Dogs and Beer!,U.S. Dollar,of $550 goal,(2),20,706%,"days left
					,
				",0,1
8,270,Please help your local rabbit rescue raise funds,Pound Sterling,of £1k goal,(3),8,27%,"Years running
					,
				",3,0
52,"3,884",FOR PETE'S SAKE - The Dog Who Rescues Dogs,Canadian Dollar,of $3.8k goal,(5),48,104%,"days left
					,
				",0,3
17,"1,440","Help Support Last Chance Pet Rescue, Inc!",U.S. Dollar,of $1.5k goal,(1),17,96%,"Years running
					,
				",3,0
9,254,#NCBeer Brews to the Rescue!,U.S. Dollar,of $500 goal,(2),9,51%,"days left
					,
				",0,0
11,775,WILDLIFE WARRIORS MOBILE GAME,U.S. Dollar,of $38k goal,(7),11,2%,"Weeks running
					,
				",102,2
31,"1,690",Please help Hand to Paw feed over 80 temple dogs,U.S. Dollar,of $2k goal,(4),31,85%,"Years running
					,
				",5,1
44,806,Help me raise funds for Skiathos Cat Welfare Assoc,Pound Sterling,of £300 goal,(4),44,269%,"Years running
					,
				",2,4
7,200,Paws for a great cause II,Pound Sterling,of £300 goal,(3),7,67%,"Weeks running
					,
				",94,2
18,341,Lemmy teeth surgery / gebitsoperatie,Euro,of €400 goal,(4),17,85%,"days left
					,
				",0,2
33,"3,000",Help is on its Way for Animals displaced by Harvey,U.S. Dollar,of $2.5k goal,(4),32,120%,"Years running
					,
				",2,4
5,520,MOST EFFECTIVE CAT LOVED LITTER SAVING ENVIRONMENT,U.S. Dollar,of $60k goal,(42),5,1%,"Weeks running
					,
				",89,9
12,710,Please help care for these rescued horses,Euro,of €10k goal,(2),11,7%,"Years running
					,
				",3,0
7,600,Green eyes here needs help with Kidney failure,U.S. Dollar,of $700 goal,(2),7,86%,"Weeks running
					,
				",91,0
5,320,IPR Hospice Dog Fundraiser,U.S. Dollar,of $1.5k goal,(1),5,21%,"Years running
					,
				",3,1
6,525,Project TNR - Pompano and Deerfield - 4/21/18,U.S. Dollar,of $1.8k goal,(11),6,29%,"Weeks running
					,
				",85,1
2,120,TNR Program,U.S. Dollar,of $2k goal,(1),2,6%,"Years running
					,
				",7,0
10,460,URGENT RENT FOR APRIL!!,Euro,of €480 goal,(1),10,96%,"Weeks running
					,
				",84,0
27,"1,145",Help Soizick and her group save stray animals,U.S. Dollar,of $2.2k goal,(12),27,52%,"Weeks running
					,
				",87,14
65,"4,055",Please Help Us Build Homes for our Animals,Canadian Dollar,of $10k goal,(3),65,41%,"Weeks running
					,
				",86,1
4,155,Tater's Amputation,U.S. Dollar,of $2.5k goal,(4),4,6%,"Weeks running
					,
				",90,0
10,122,Vital vaccination vetcare for 29 dogs at Pirot,Euro,of €420 goal,(1),7,29%,"Weeks running
					,
				",82,1
18,217,irinas food fundraiser,Euro,of €207 goal,(2),17,105%,"days left
					,
				",0,1
7,360,Princess&Winter&9 Pups rescued from the river bed,U.S. Dollar,of $1.6k goal,(3),7,22%,"Weeks running
					,
				",85,1
4,150,Please support Gray and Nera to stay safe!!,Euro,of €170 goal,(5),4,88%,"days left
					,
				",0,1
7,150,irinas sheltered hearts  medical puppy fundraiser,Euro,of €150 goal,(2),6,100%,"days left
					,
				",0,1
5,230,Rescued Stray FIV+ Needs Help Now,U.S. Dollar,of $931 goal,(6),5,25%,"days left
					,
				",0,2
10,555,Young female Shepherd/mix hit by a car,U.S. Dollar,of $424 goal,(4),10,131%,"days left
					,
				",0,3
22,910,Please help Joyke come to his new life in Canada!,Canadian Dollar,of $1k goal,(1),22,91%,"Weeks running
					,
				",83,0
17,715,Please Help Safe Harbor vet 3 abandoned dogs,U.S. Dollar,of $1.2k goal,(1),17,60%,"Weeks running
					,
				",83,0
8,360,RESCUE 2018 - Join With Us to Help Dogs in Need,U.S. Dollar,of $5k goal,(23),8,7%,"Weeks running
					,
				",98,5
22,300,HElP US TO HELP LITTLE KITTEN STAY ALIVE,Euro,of €300 goal,(7),21,100%,"days left
					,
				",0,2
12,405,Milagro Project,U.S. Dollar,of $5k goal,(1),10,8%,"Years running
					,
				",4,0
68,"4,490",The Voiceless dogs of Pawtcake refuge May 2018,U.S. Dollar,of $7k goal,(3),68,64%,"days left
					,
				",0,0
8,250,Help Ariel Walk Again!,U.S. Dollar,of $250 goal,(19),8,100%,"Weeks running
					,
				",78,2
14,985,Ivan Forever,Canadian Dollar,of $3k goal,(2),14,33%,"Weeks running
					,
				",87,0
9,320,"My blind boy, Joe, needs your help!",Canadian Dollar,of $3k goal,(1),9,11%,"Years running
					,
				",3,0
7,675,Bella and Boogy need your help to find their homes,U.S. Dollar,of $680 goal,(2),7,99%,"days left
					,
				",0,0
7,340,A015403 has a complete distal femur fracture.,U.S. Dollar,of $309 goal,(2),7,110%,"days left
					,
				",0,1
12,435,Please help save Bali dogs' lives!,Canadian Dollar,of $1.5k goal,(6),11,29%,"Weeks running
					,
				",87,1
20,540,Casper has gone for medical treatment!,U.S. Dollar,of $243 goal,(7),16,222%,"days left
					,
				",0,1
52,"8,090",The Amazing Raise 2018: Team MP Room,Canadian Dollar,of $6.3k goal,(8),51,129%,"days left
					,
				",0,0
53,"7,405",The Amazing Raise 2018: Team Barn,Canadian Dollar,of $6.3k goal,(10),53,118%,"days left
					,
				",0,0
9,"1,842",Georgie & Bambi,U.S. Dollar,of $1.8k goal,(7),8,102%,"days left
					,
				",0,1
47,"7,315",The Amazing Raise 2018: Team Bunny Room,Canadian Dollar,of $6.3k goal,(10),46,117%,"days left
					,
				",0,0
6,256,Support Yeti in Fighting Neurological Disorder,Canadian Dollar,of $1.9k goal,(11),6,13%,"days left
					,
				",0,4
240,"32,615",The Amazing Raise 2018: SAINTS Rescue,Canadian Dollar,of $25k goal,(6),237,130%,"days left
					,
				",0,2
4,675,Dogs & Cats JULY Cost,Euro,of €3.2k goal,(45),4,21%,"Weeks running
					,
				",68,3
57,"8,375",The Amazing Raise 2018: Team House,Canadian Dollar,of $6.3k goal,(9),57,134%,"days left
					,
				",0,1
7,146,Dalida Kozlic's Rescued Animals,Euro,of €2k goal,(21),7,7%,"days left
					,
				",0,9
4,190,Help to cover monthly food for 12 rescued dogs!,U.S. Dollar,of $315 goal,(4),4,60%,"days left
					,
				",0,3
7,360,Please help the refuge of Chios feed rescue dogs,Euro,of €4.5k goal,(88),5,8%,"Years running
					,
				",3,13
13,"1,230",Mattie's Amputation for Life,U.S. Dollar,of $3.3k goal,(33),13,37%,"days left
					,
				",0,6
6,140,"Paw-lease Help, Kaipo Needs Surgery!",U.S. Dollar,of $600 goal,(8),6,23%,"Weeks running
					,
				",66,5
3,270,Raising Money For Numbi's Oustanding Vet bills,U.S. Dollar,of $680 goal,(8),3,40%,"Weeks running
					,
				",67,2
19,270,Please help me keep my rescued dogs safe!,Euro,of €1.1k goal,(15),19,26%,"Weeks running
					,
				",72,0
25,725,Please help us pay for Remy's Parvo expenses.,U.S. Dollar,of $1k goal,(15),25,73%,"days left
					,
				",0,11
574,"23,362",100+ Abandoned Dogs of Everglades Florida,U.S. Dollar,of $30k goal,(2),560,78%,"Years running
					,
				",6,0
6,185,Will YOU help SAVE ME ....,U.S. Dollar,of $1.5k goal,(3),5,12%,"Weeks running
					,
				",65,3
4,160,Pike's Heartworm Treatment,U.S. Dollar,of $450 goal,(6),4,36%,"Weeks running
					,
				",77,0
128,"2,615",Give us a chance,U.S. Dollar,of $3k goal,(1),128,87%,"days left
					,
				",0,2
3,120,Help For Bella and her fight for Xiytol Toxicity,U.S. Dollar,of $5.5k goal,(4),2,2%,"Weeks running
					,
				",81,1
1,100,AnimalLoversUnite-AWholesale pet food buying group,U.S. Dollar,of $10k goal,(1),1,1%,"Weeks running
					,
				",75,0
11,522,URGENT!! Food needed for 65 dogs!!!!!!,Euro,of €680 goal,(1),11,77%,"Weeks running
					,
				",78,1
76,"8,658",The Voiceless Dogs of Pawtcake Refuge June 2018,U.S. Dollar,of $7k goal,(7),76,124%,"days left
					,
				",0,0
102,"4,724",**RAISED** April food for 500 dogs at The Bark Ark,Euro,of €4.5k goal,(17),102,105%,"days left
					,
				",0,0
4,240,A016346 needs X-rays on his back leg.,U.S. Dollar,of $200 goal,(3),4,120%,"days left
					,
				",0,2
4,250,THIS IS THE ONLY CHANCE,Euro,of €450 goal,(1),4,56%,"days left
					,
				",0,0
4,950,Help pay Habiba Shelter's rent and wages July,Canadian Dollar,of $900 goal,(1),4,106%,"Weeks running
					,
				",73,0
4,130,She is recovering from surgery BOARDING for JUNE,Euro,of €300 goal,(19),4,43%,"Weeks running
					,
				",77,6
5,187,Please help me keep Ralph safe!!!,Euro,of €187 goal,(4),5,100%,"Weeks running
					,
				",74,0
5,430,Zara & Zack need help to find their forever homes,U.S. Dollar,of $900 goal,(5),5,48%,"days left
					,
				",0,0
4,160,"Please support Gray, Nera and Rocky in pension !!!",Euro,of €245 goal,(19),4,65%,"Weeks running
					,
				",71,1
3,440,Please help Zico to find his forever home in USA,U.S. Dollar,of $430 goal,(2),3,102%,"days left
					,
				",0,0
22,800,Please help with Buck's medical bill,U.S. Dollar,of $1.5k goal,(1),22,53%,"days left
					,
				",0,0
5,254,Can We Help this Lady with her Cats and Kittens?,Euro,of €200 goal,(1),5,127%,"Weeks running
					,
				",70,0
6,240,"SURVIVOR, HERO NEEDS HELP TO GET TO HIS NEW HOME",U.S. Dollar,of $380 goal,(8),5,63%,"days left
					,
				",0,2
7,165,Please donate towards his medical bill.,U.S. Dollar,of $431 goal,(3),7,38%,"Weeks running
					,
				",79,0
15,510,The Silver Lining Fund for Indigent Pets,U.S. Dollar,of $5k goal,(1),15,10%,"Years running
					,
				",6,1
8,265,A015860 needs to be boarded while he heals.,U.S. Dollar,of $360 goal,(3),8,74%,"Weeks running
					,
				",78,1
7,225,Help Hermione,U.S. Dollar,of $300 goal,(3),7,75%,"days left
					,
				",0,4
66,"3,719",The Voiceless Dogs of Pawtcake refuge July 2018,U.S. Dollar,of $7k goal,(5),65,53%,"Weeks running
					,
				",74,0
4,110,"A015890, her bill is due, please donate if you can",U.S. Dollar,of $485 goal,(3),4,23%,"Weeks running
					,
				",78,2
17,"1,570","""Kilimanjaro Animal Rescue"" appeal",Pound Sterling,of £3.3k goal,(1),17,48%,"Years running
					,
				",5,0
13,720,Dog with heat exhaustion found in bushes!,U.S. Dollar,of $541 goal,(2),13,133%,"Weeks running
					,
				",78,2
46,"1,495",Surgery Fund for NICO!,U.S. Dollar,of $2k goal,(2),43,75%,"days left
					,
				",0,1
1,200,"THE CATS, THE CAR AND ME!",U.S. Dollar,of $30k goal,(1),1,1%,"Weeks running
					,
				",76,1
4,150,SOS! Hero starved dog need help for vet costs :(,Euro,of €250 goal,(31),4,60%,"Weeks running
					,
				",78,3
23,938,Help for Furries June costs,Euro,of €1k goal,(1),23,91%,"Weeks running
					,
				",75,0
38,"1,414",Can you help with Norman and Penelope's recovery?,Canadian Dollar,of $3k goal,(4),37,47%,"Weeks running
					,
				",85,1
9,160,Help feed 70+ Egyptian rescue dogs for 1 month pls,Pound Sterling,of £160 goal,(1),9,100%,"Weeks running
					,
				",79,2
11,950,Please Help Us Support Dog Meat Trade Survivors,U.S. Dollar,of $950 goal,(24),11,100%,"Weeks running
					,
				",84,5
13,425,Mildred the Mastín deserves a new start to life.,Euro,of €950 goal,(2),13,45%,"Weeks running
					,
				",82,2
2,150,Badly injured tiny kitten needs special care/vet,Euro,of €150 goal,(1),2,100%,"Weeks running
					,
				",76,1
3,197,Please donate to help pay for her medical bill.,U.S. Dollar,of $197 goal,(4),3,100%,"days left
					,
				",0,3
42,"3,855",Help LEO Africa buy new camera traps,U.S. Dollar,of $6k goal,(6),42,64%,"days left
					,
				",0,3
5,155,Please help us pay this neglected dogs vet bill,U.S. Dollar,of $284 goal,(4),5,55%,"Weeks running
					,
				",64,0
6,100,Katz and Kidz Could use a Little Kind Help,Euro,of €100 goal,(10),6,100%,"Weeks running
					,
				",64,0
6,470,A017482 has a fractured femur,U.S. Dollar,of $460 goal,(1),6,102%,"Weeks running
					,
				",63,2
14,405,Help bondok to travel to USA,Pound Sterling,of £400 goal,(1),14,101%,"Weeks running
					,
				",68,1
15,405,FIVE PUPPIES saved from dying in the bush,Canadian Dollar,of $390 goal,(6),15,104%,"days left
					,
				",0,0
22,295,Neutering trips to la linea spain - help the cats,Pound Sterling,of £1.6k goal,(22),21,18%,"Years running
					,
				",4,4
10,435,Pablo's Smile Fund,U.S. Dollar,of $1k goal,(8),9,44%,"Weeks running
					,
				",64,3
4,125,Dog with swollen leg received emergency care,U.S. Dollar,of $518 goal,(6),4,24%,"Weeks running
					,
				",64,1
8,430,Please help Zica to find his home in Canada,U.S. Dollar,of $430 goal,(3),8,100%,"days left
					,
				",0,0
31,"1,405",Help 3 legs Marley fight cancer again!,Canadian Dollar,of $2k goal,(1),30,70%,"Years running
					,
				",2,0
85,"24,002",The Amazing Raise - TEAM MP ROOM,Canadian Dollar,of $8.3k goal,(27),85,287%,"days left
					,
				",0,1
8,250,Help us save Dazzle!,U.S. Dollar,of $250 goal,(1),8,100%,"days left
					,
				",0,0
5,340,"Zoochosis and a broken heart,Taiz Hyena wants out!",Euro,of €500 goal,(24),5,68%,"Years running
					,
				",3,3
12,143,Angel's operation.,Pound Sterling,of £250 goal,(2),11,57%,"Years running
					,
				",2,1
24,690,Emergency Surgery for Sophie,U.S. Dollar,of $1k goal,(7),22,69%,"Years running
					,
				",2,3
9,355,Bone plate removal for Sara Jane,U.S. Dollar,of $1.3k goal,(1),9,27%,"days left
					,
				",0,2
46,"7,155",The Amazing Raise - TEAM BARN,Canadian Dollar,of $8.3k goal,(27),46,86%,"days left
					,
				",0,2
20,"1,590",Help Whisker City relieve an overcrowded shelter,U.S. Dollar,of $6k goal,(1),19,27%,"Years running
					,
				",2,1
45,"1,583",Scarlett has a mass cell tumor! Help needed!,U.S. Dollar,of $4k goal,(1),44,40%,"Years running
					,
				",3,0
